Pond,Mean,Sd,sig
P1,10.62,1.15,ad
P1,9.42,1.18,ad
P1,9.18,1.19,ad
P2,18.8,1.13,b
P2,13.43,1.13,ac
P2,11.73,1.13,acd
P3,14.22,1.13,ab
P3,16.48,1.13,bc
P3,7.98,1.18,d
