Pond,Mean,Sd,sig
P1,0.178,0.044,a
P1,0.185,0.012,a
P1,0.092,0.006,b
P2,0.183,0.006,a
P2,0.076,0.004,b
P2,0.083,0.012,b
P3,0.212,0.025,a
P3,0.175,0.022,a
P3,0.079,0.006,b
